pair,range_expansion,extreme_upper,extreme_lower,consecutive_bars,bars,exhaustions,signals,n_long,n_short,signal_rate,win_rate,mean_return,sharpe,ic,ic_pval,reduction_ratio
USDJPY,1.0,0.7,0.2,2,2049,291,159,55,104,7.759882869692533,55.34591194968554,0.00020193022793250033,15.215117861532756,0.18263892055960537,0.021209497427718157,0.5463917525773195
USDJPY,1.0,0.7,0.2,3,2049,150,87,30,57,4.24597364568082,54.02298850574713,0.00016370935948013378,13.108175924829284,0.21184815543891877,0.04885816443118314,0.58
USDJPY,1.0,0.7,0.2,4,2049,74,43,14,29,2.09858467545144,46.51162790697674,-4.422664150176765e-05,-4.198301872844366,0.13997312773896356,0.3706605032963662,0.581081081081081
USDJPY,1.0,0.7,0.15,2,2049,271,148,44,104,7.223035627135188,54.729729729729726,0.00020937543317192363,15.683246049473139,0.19411481162413546,0.01807796062514177,0.5461254612546126
USDJPY,1.0,0.7,0.15,3,2049,142,81,24,57,3.953147877013177,53.086419753086425,0.00018098774728097174,14.630216495303726,0.24399341745647188,0.028156386691339748,0.5704225352112676
USDJPY,1.0,0.7,0.15,4,2049,70,40,11,29,1.9521717911176184,45.0,-4.888948835247708e-05,-4.955279026762195,0.16248596598934006,0.31646830136771703,0.5714285714285714
USDJPY,1.0,0.75,0.35,2,2049,333,198,109,89,9.66325036603221,54.04040404040404,0.00015618127298700608,12.061918266132297,0.11430659043077415,0.10882152924064241,0.5945945945945946
USDJPY,1.0,0.75,0.35,3,2049,161,99,51,48,4.831625183016105,52.52525252525253,0.00010448020567260964,7.943024822684457,0.0947712648277674,0.3507741761740663,0.6149068322981367
USDJPY,1.0,0.75,0.35,4,2049,82,52,28,24,2.537823328452904,46.15384615384615,-6.926628783866688e-05,-6.195934890786091,-0.05911678394561669,0.6771914049222658,0.6341463414634146
USDJPY,1.0,0.75,0.3,2,2049,313,182,93,89,8.882381649585163,54.395604395604394,0.0001672187709521868,12.515138715260548,0.13086292617291717,0.0782631459350693,0.5814696485623003
USDJPY,1.0,0.75,0.3,3,2049,151,91,43,48,4.4411908247925815,53.84615384615385,0.00012499047736058333,9.181674627770319,0.13658663715157712,0.1967032039677278,0.6026490066225165
USDJPY,1.0,0.75,0.3,4,2049,75,45,21,24,2.1961932650073206,46.666666666666664,-5.9951398637209725e-05,-5.062818903831266,0.01714905151904943,0.9109738661308121,0.6
USDJPY,1.0,0.75,0.25,2,2049,296,166,77,89,8.101512933138116,56.024096385542165,0.00020723125753345422,15.493255797513338,0.16599913642897038,0.032562185058099186,0.5608108108108109
USDJPY,1.0,0.75,0.25,3,2049,145,85,37,48,4.148365056124939,55.294117647058826,0.00019481062124773448,15.014330833526058,0.20406227727753135,0.0610313489328558,0.5862068965517241
USDJPY,1.0,0.75,0.25,4,2049,71,41,17,24,2.0009760858955588,46.34146341463415,-1.4276733426563443e-05,-1.242074623516832,0.07949860383179369,0.6212493700711166,0.5774647887323944
USDJPY,1.0,0.75,0.2,2,2049,264,144,55,89,7.027818448023426,54.166666666666664,0.00019125016899495314,13.968765496098529,0.15490200901633008,0.0637635556486398,0.5454545454545454
USDJPY,1.0,0.75,0.2,3,2049,133,78,30,48,3.806734992679356,53.84615384615385,0.00016728826337534766,12.90192236120564,0.19429362753158114,0.08828110588128765,0.5864661654135338
USDJPY,1.0,0.75,0.2,4,2049,65,38,14,24,1.8545632015617375,47.368421052631575,-3.979159809349241e-05,-3.676023186215127,0.12437349182508894,0.4568920276913393,0.5846153846153846
USDJPY,1.0,0.75,0.15,2,2049,244,133,44,89,6.4909712054660815,53.383458646616546,0.00019865174589060448,14.383262358808013,0.16898803276663338,0.05183792002418405,0.5450819672131147
USDJPY,1.0,0.75,0.15,3,2049,125,72,24,48,3.513909224011713,52.77777777777778,0.00018702469164255818,14.52462044061217,0.22966181547813538,0.05229895115260783,0.576
USDJPY,1.0,0.75,0.15,4,2049,61,35,11,24,1.7081503172279162,45.714285714285715,-4.4740419345022454e-05,-4.428019418451029,0.15234842169315221,0.38228796925348024,0.5737704918032787
USDJPY,1.0,0.8,0.35,2,2049,313,186,109,77,9.077598828696926,54.83870967741935,0.00017969035625596975,13.794963184274309,0.1267540374975921,0.08470757202306509,0.5942492012779552
USDJPY,1.0,0.8,0.35,3,2049,148,91,51,40,4.4411908247925815,52.74725274725275,0.00013585291800161288,10.358342931547586,0.11210165179569183,0.2900839225545654,0.6148648648648649
USDJPY,1.0,0.8,0.35,4,2049,77,48,28,20,2.342606149341142,47.91666666666667,-1.600060337169501e-05,-1.459020483375135,-0.015251748840367766,0.9180520441829424,0.6233766233766234
USDJPY,1.0,0.8,0.3,2,2049,293,170,93,77,8.296730112249879,55.294117647058826,0.0001937195913263598,14.38365857992816,0.14387995333080922,0.06122377428228319,0.5802047781569966
USDJPY,1.0,0.8,0.3,3,2049,138,83,43,40,4.050756466569058,54.21686746987952,0.00016136395923339156,11.859751943574995,0.15800814799199842,0.15367478694451947,0.6014492753623188
USDJPY,1.0,0.8,0.3,4,2049,70,41,21,20,2.0009760858955588,48.78048780487805,3.3171967584117026e-06,0.2845532097991042,0.05773502691896258,0.7199308210101065,0.5857142857142857
USDJPY,1.0,0.8,0.25,2,2049,276,154,77,77,7.515861395802831,57.14285714285714,0.0002396032659917959,17.778035166411122,0.18010319379368522,0.025409334979560962,0.5579710144927537
USDJPY,1.0,0.8,0.25,3,2049,132,77,37,40,3.7579306979014153,55.84415584415584,0.00024127244133267332,18.769766583032528,0.22805535750820116,0.0460628952070571,0.5833333333333334
USDJPY,1.0,0.8,0.25,4,2049,66,37,17,20,1.805758906783797,48.64864864864865,6.0769511764330166e-05,5.433542827395236,0.12190439333572471,0.4722936203351925,0.5606060606060606
USDJPY,1.0,0.8,0.2,2,2049,244,132,55,77,6.44216691068814,55.3030303030303,0.00022756468596557891,16.439725563389597,0.17078741376072165,0.050236448911933795,0.5409836065573771
USDJPY,1.0,0.8,0.2,3,2049,120,70,30,40,3.4163006344558324,54.285714285714285,0.00021525085314050762,16.75058806690254,0.2228798868632088,0.0636571406915555,0.5833333333333334
USDJPY,1.0,0.8,0.2,4,2049,60,34,14,20,1.6593460224499756,50.0,3.887462582990017e-05,3.7342282181959274,0.17056057308448833,0.3348342859797994,0.5666666666666667
USDJPY,1.0,0.8,0.15,2,2049,224,121,44,77,5.905319668130796,54.54545454545454,0.00023900162326969887,17.093634494275282,0.1854341568941778,0.041720349635609395,0.5401785714285714
USDJPY,1.0,0.8,0.15,3,2049,112,64,24,40,3.1234748657881894,53.125,0.0002419508277316032,19.021644643687075,0.26207120918047955,0.036441770755279254,0.5714285714285714
